time,acc_x,acc_y,acc_z,gyro_pitch,gyro_yaw,gyro_roll,vibration_status,label,person_id
2025-01-08 14:00:17.122636,5,3,9,-2540,7730,1259,0,0,0
2025-01-08 14:00:17.123878,5,3,9,-2540,7730,1259,0,0,0
2025-01-08 14:00:17.125141,3,2,6,-2543,7757,1242,0,0,0
2025-01-08 14:00:17.126386,3,2,6,-2543,7757,1242,0,0,0
2025-01-08 14:00:17.127642,3,2,6,-2543,7757,1242,0,0,0
2025-01-08 14:00:17.128894,3,3,6,-2496,7741,1221,0,0,0
2025-01-08 14:00:17.130146,3,3,6,-2496,7741,1221,0,0,0
2025-01-08 14:00:17.131409,3,3,6,-2496,7741,1221,0,0,0
2025-01-08 14:00:17.132660,4,2,8,-2511,7719,1222,0,0,0
2025-01-08 14:00:17.133923,4,2,8,-2511,7719,1222,0,0,0
2025-01-08 14:00:17.135182,4,2,8,-2511,7719,1222,0,0,0
2025-01-08 14:00:17.136434,4,2,8,-2511,7719,1222,0,0,0
2025-01-08 14:00:17.137696,3,4,4,-2501,7750,1227,0,0,0
2025-01-08 14:00:17.138957,3,4,4,-2501,7750,1227,0,0,0
2025-01-08 14:00:17.140218,3,4,4,-2501,7750,1227,0,0,0
2025-01-08 14:00:17.141469,0,2,6,-2504,7728,1215,0,0,0
2025-01-08 14:00:17.142723,0,2,6,-2504,7728,1215,0,0,0
2025-01-08 14:00:17.143975,0,2,6,-2504,7728,1215,0,0,0
2025-01-08 14:00:17.145227,1,1,6,-2507,7744,1244,0,0,0
2025-01-08 14:00:17.146491,1,1,6,-2507,7744,1244,0,0,0
2025-01-08 14:00:17.147752,1,1,6,-2507,7744,1244,0,0,0
2025-01-08 14:00:17.149019,4,1,7,-2515,7740,1249,0,0,0
2025-01-08 14:00:17.150269,4,1,7,-2515,7740,1249,0,0,0
2025-01-08 14:00:17.151533,4,1,7,-2515,7740,1249,0,0,0
2025-01-08 14:00:17.152782,2,4,6,-2518,7743,1235,0,0,0
2025-01-08 14:00:17.154045,2,4,6,-2518,7743,1235,0,0,0
2025-01-08 14:00:17.155304,2,4,6,-2518,7743,1235,0,0,0
2025-01-08 14:00:17.156553,6,0,6,-2487,7770,1247,0,0,0
2025-01-08 14:00:17.157806,6,0,6,-2487,7770,1247,0,0,0
2025-01-08 14:00:17.159059,6,0,6,-2487,7770,1247,0,0,0
2025-01-08 14:00:17.160310,6,0,6,-2487,7770,1247,0,0,0
2025-01-08 14:00:17.161572,2,1,4,-2501,7717,1275,0,0,0
2025-01-08 14:00:17.162832,2,1,4,-2501,7717,1275,0,0,0
2025-01-08 14:00:17.164093,2,1,4,-2501,7717,1275,0,0,0
2025-01-08 14:00:17.165344,2,0,11,-2484,7731,1288,0,0,0
2025-01-08 14:00:17.166597,2,0,11,-2484,7731,1288,0,0,0
2025-01-08 14:00:17.167852,2,0,11,-2484,7731,1288,0,0,0
2025-01-08 14:00:17.169115,2,0,8,-2493,7712,1303,0,0,0
2025-01-08 14:00:17.170375,2,0,8,-2493,7712,1303,0,0,0
2025-01-08 14:00:17.171635,2,0,8,-2493,7712,1303,0,0,0
2025-01-08 14:00:17.172887,3,1,7,-2472,7706,1343,0,0,0
2025-01-08 14:00:17.174140,3,1,7,-2472,7706,1343,0,0,0
2025-01-08 14:00:17.175407,3,1,7,-2472,7706,1343,0,0,0
2025-01-08 14:00:17.176660,1,2,7,-2489,7732,1329,0,0,0
2025-01-08 14:00:17.177921,1,2,7,-2489,7732,1329,0,0,0
2025-01-08 14:00:17.179181,1,2,7,-2489,7732,1329,0,0,0
2025-01-08 14:00:17.180432,2,0,8,-2480,7721,1369,0,0,0
2025-01-08 14:00:17.181694,2,0,8,-2480,7721,1369,0,0,0
2025-01-08 14:00:17.182954,2,0,8,-2480,7721,1369,0,0,0
2025-01-08 14:00:17.184216,2,0,8,-2480,7721,1369,0,0,0
2025-01-08 14:00:17.185475,3,1,4,-2467,7713,1368,0,0,0
2025-01-08 14:00:17.186734,3,1,4,-2467,7713,1368,0,0,0
2025-01-08 14:00:17.187989,3,1,4,-2467,7713,1368,0,0,0
2025-01-08 14:00:17.189250,2,3,6,-2470,7736,1370,0,0,0
2025-01-08 14:00:17.190499,2,3,6,-2470,7736,1370,0,0,0
2025-01-08 14:00:17.191761,2,3,6,-2470,7736,1370,0,0,0
2025-01-08 14:00:17.193020,0,3,6,-2505,7717,1382,0,0,0
2025-01-08 14:00:17.194281,0,3,6,-2505,7717,1382,0,0,0
2025-01-08 14:00:17.195541,0,3,6,-2505,7717,1382,0,0,0
2025-01-08 14:00:17.196791,0,3,6,-2472,7716,1349,0,0,0
2025-01-08 14:00:17.198054,0,3,6,-2472,7716,1349,0,0,0
2025-01-08 14:00:17.199315,0,3,6,-2472,7716,1349,0,0,0
2025-01-08 14:00:17.200566,2,0,5,-2464,7745,1355,0,0,0
2025-01-08 14:00:17.201828,2,0,5,-2464,7745,1355,0,0,0
2025-01-08 14:00:17.203087,2,0,5,-2464,7745,1355,0,0,0
2025-01-08 14:00:17.204338,2,0,5,-2464,7745,1355,0,0,0
2025-01-08 14:00:17.205599,3,4,8,-2453,7743,1376,0,0,0
2025-01-08 14:00:17.206860,3,4,8,-2453,7743,1376,0,0,0
2025-01-08 14:00:17.208121,3,4,8,-2453,7743,1376,0,0,0
2025-01-08 14:00:17.209395,2,1,8,-2487,7723,1331,0,0,0
2025-01-08 14:00:17.210655,2,1,8,-2487,7723,1331,0,0,0
2025-01-08 14:00:17.211910,2,1,8,-2487,7723,1331,0,0,0
2025-01-08 14:00:17.213163,4,2,5,-2449,7744,1330,0,0,0
2025-01-08 14:00:17.214425,4,2,5,-2449,7744,1330,0,0,0
2025-01-08 14:00:17.215685,4,2,5,-2449,7744,1330,0,0,0
2025-01-08 14:00:17.216937,4,3,5,-2492,7732,1331,0,0,0
2025-01-08 14:00:17.218200,4,3,5,-2492,7732,1331,0,0,0
2025-01-08 14:00:17.219459,4,3,5,-2492,7732,1331,0,0,0
2025-01-08 14:00:17.220715,3,2,6,-2470,7726,1311,0,0,0
2025-01-08 14:00:17.221976,3,2,6,-2470,7726,1311,0,0,0
2025-01-08 14:00:17.223237,3,2,6,-2470,7726,1311,0,0,0
2025-01-08 14:00:17.224488,4,2,7,-2490,7740,1317,0,0,0
2025-01-08 14:00:17.225741,4,2,7,-2490,7740,1317,0,0,0
2025-01-08 14:00:17.227005,4,2,7,-2490,7740,1317,0,0,0
2025-01-08 14:00:17.228265,4,2,7,-2490,7740,1317,0,0,0
2025-01-08 14:00:17.229524,3,2,6,-2480,7718,1291,0,0,0
2025-01-08 14:00:17.230784,3,2,6,-2480,7718,1291,0,0,0
2025-01-08 14:00:17.232045,3,2,6,-2480,7718,1291,0,0,0
2025-01-08 14:00:17.233303,4,2,6,-2512,7707,1305,0,0,0
2025-01-08 14:00:17.234564,4,2,6,-2512,7707,1305,0,0,0
2025-01-08 14:00:17.235815,4,2,6,-2512,7707,1305,0,0,0
2025-01-08 14:00:17.237075,2,2,5,-2480,7731,1284,0,0,0
2025-01-08 14:00:17.238327,2,2,5,-2480,7731,1284,0,0,0
2025-01-08 14:00:17.239592,2,2,5,-2480,7731,1284,0,0,0
2025-01-08 14:00:17.240843,3,4,2,-2493,7715,1260,0,0,0
2025-01-08 14:00:17.242109,3,4,2,-2493,7715,1260,0,0,0
2025-01-08 14:00:17.243368,3,4,2,-2493,7715,1260,0,0,0
2025-01-08 14:00:17.244620,4,3,5,-2513,7726,1246,0,0,0
2025-01-08 14:00:17.245882,4,3,5,-2513,7726,1246,0,0,0
2025-01-08 14:00:17.247142,4,3,5,-2513,7726,1246,0,0,0
2025-01-08 14:00:17.248394,4,3,5,-2513,7726,1246,0,0,0
2025-01-08 14:00:17.249630,2,2,6,-2527,7757,1241,0,0,0
2025-01-08 14:00:17.250892,2,2,6,-2527,7757,1241,0,0,0
2025-01-08 14:00:17.252154,2,2,6,-2527,7757,1241,0,0,0
2025-01-08 14:00:17.253414,3,3,5,-2510,7742,1228,0,0,0
2025-01-08 14:00:17.254674,3,3,5,-2510,7742,1228,0,0,0
2025-01-08 14:00:17.255929,3,3,5,-2510,7742,1228,0,0,0
2025-01-08 14:00:17.257181,2,3,6,-2521,7730,1240,0,0,0
2025-01-08 14:00:17.258433,2,3,6,-2521,7730,1240,0,0,0
2025-01-08 14:00:17.259686,2,3,6,-2521,7730,1240,0,0,0
2025-01-08 14:00:17.260939,1,2,4,-2494,7738,1252,0,0,0
2025-01-08 14:00:17.262200,1,2,4,-2494,7738,1252,0,0,0
2025-01-08 14:00:17.263452,1,2,4,-2494,7738,1252,0,0,0
